content_id,model_prob,action,reason_code,days_since_last_update,avg_position,ctr,impressions_prev_30d,clicks_prev_30d,search_volume,competition,word_count,content_age_days
content_9d35d489e74d,0.9680554223584984,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,6.7,0.0,30,0,0.0,0.0,4152.0,96
content_b5d1fbc91005,0.9678645065297293,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,24.3,0.06,8124,8,0.0,0.0,5562.0,216
content_b84e25e55621,0.9677607993590218,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,25.7,0.36,3126,14,0.0,0.0,6556.0,223
content_4cad78836710,0.9677497938009987,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,16.5,0.32,5518,14,0.0,0.0,6033.0,144
content_69b51727a5ce,0.9677209999375423,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,30.1,0.11,16733,19,0.0,0.0,5442.0,223
content_eec532e0824c,0.9676307961791033,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,5.0,0.0,326,0,0.0,0.0,7292.0,223
content_19844deccf29,0.967630289742635,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,26.4,0.09,2775,3,0.0,0.0,6612.0,139
content_f8de7d4cee60,0.9674113782225604,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,30.8,0.02,32281,8,0.0,0.0,5055.0,144
content_bcd1f2ff027a,0.967358918897898,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,22.1,0.11,3112,2,0.0,0.0,7377.0,223
content_4a46bc087129,0.9672498960468338,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,5.1,0.0,323,0,0.0,0.0,6448.0,223
content_eb806d4ef757,0.9671445197964949,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,25.6,0.38,7565,38,0.0,0.0,6738.0,223
content_5847d18639a8,0.9671445197964949,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,19.4,0.4,7333,33,0.0,0.0,5768.0,223
content_34c63365dcb2,0.9670313784063063,HIGH PRIORITY REFRESH,model_flagged_decline_risk,1,15.4,0.0,4,0,0.0,0.0,3079.0,91
content_79bb47608e63,0.96692645287161,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,44.6,0.03,6203,3,0.0,0.0,6082.0,151
content_60b799ef98ae,0.9669033098295955,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,9.2,0.0,9,0,0.0,0.0,4113.0,90
content_2d665182534d,0.9668166236217471,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,36.1,0.1,5695,1,0.0,0.0,5557.0,151
content_b012f02fa8f1,0.9668020738551797,HIGH PRIORITY REFRESH,model_flagged_decline_risk,20,0.9,0.06,644,0,10.0,1.0,2636.0,95
content_dbe82879a406,0.9667947698029223,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,33.3,0.12,10205,7,0.0,0.0,8243.0,223
content_a999fa415a3f,0.9667218173557145,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,2.1,0.15,462,1,0.0,0.0,5635.0,144
content_a64d182bbbc0,0.9666017623768235,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,15.7,0.24,7546,15,0.0,0.0,5293.0,151
content_de4ba2c7499a,0.9665677543140069,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,21.5,0.21,4634,8,0.0,0.0,4537.0,140
content_bda75e762cec,0.9664886981655718,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,17.1,0.4,7465,35,0.0,0.0,6825.0,144
